collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
45,1 1 1 1 1,0 -2 -4 -2 -4,20,hub_local,1,0 -1 1 -1 1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
46,1 1 1 1 1,0 3 -4 -4 -4,21,local,2,0 0 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
46,1 1 1 1 1,0 3 -4 -4 -4,25,hub_local,4,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
47,1 1 1 1 1,0 3 -4 -4 0,17,local,2,0 0 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
47,1 1 1 1 1,0 3 -4 -4 0,21,hub_local,2,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 0 -1 0;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
48,1 1 1 1 1,2 -4 -4 -4 -4,20,local,1,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
48,1 1 1 1 1,2 -4 -4 -4 -4,26,hub_local,32,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
49,1 1 1 1 1,2 -4 -4 -4 4,20,local,3,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
49,1 1 1 1 1,2 -4 -4 -4 4,26,hub_local,10,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
50,1 1 1 1 1,2 -4 -4 7 -4,35,local,1,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
