mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
146,rank+out_strength_distribution+out_strength_vector,3,11158,11116,0.9962358845671268,0.9958964199801896,2536,0.010148321623731471
147,frob2+rank+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
148,stable_rank+out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
149,frob2+stable_rank+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
150,rank+stable_rank+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
151,frob2+rank+stable_rank+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
152,singular_values+out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
153,frob2+singular_values+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
154,rank+singular_values+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
155,frob2+rank+singular_values+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
156,stable_rank+singular_values+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
157,frob2+stable_rank+singular_values+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
158,rank+stable_rank+singular_values+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
159,frob2+rank+stable_rank+singular_values+out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
160,in_strength_distribution+out_strength_vector,2,11200,11198,0.9998214285714285,0.9997169944813924,2561,0.0003903200624512104
161,frob2+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
162,rank+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
163,frob2+rank+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
164,stable_rank+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
