future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
766,1,0,6,16,14,4,2,4,4,0,0,15,0,32,0,1 2 2 2 2
768,2,1,3,16,7,2,2,2,4,2,2,3,1,8,2,1 2 2 1 1
777,1,0,2,17,8,2,2,2,2,0,0,1,0,2,0,1 1 2 2 1
778,2,1,3,16,7,2,2,2,4,2,2,3,1,8,2,1 1 1 2 2
781,1,0,3,16,8,2,2,2,20,0,0,3,0,36,0,1 1 2 1 2
799,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
807,2,1,5,19,11,3,2,3,10,6,6,10,3,28,6,2 1 1 2 2
809,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
810,2,1,4,18,14,4,2,4,6,4,4,6,3,20,6,2 1 2 2 2
813,1,0,3,18,7,2,2,2,6,0,0,3,0,10,0,2 1 1 1 2
818,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
819,3,1,4,18,10,3,2,3,16,8,8,6,5,40,16,2 1 2 1 2
824,1,0,2,17,7,2,2,2,2,0,0,1,0,2,0,1 2 2 1 1
830,2,1,2,18,7,2,2,2,8,2,2,1,1,8,2,2 1 1 1 2
831,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
833,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
840,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
850,1,0,2,18,14,4,2,4,2,0,0,1,0,2,0,2 2 2 1 2
860,1,0,2,16,4,1,2,1,4,0,0,1,0,4,0,1 1 1 1 2
863,1,0,3,16,9,3,2,3,2,0,0,3,0,6,0,2 2 2 1 1
875,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
876,1,0,5,17,10,3,2,3,4,0,0,10,0,22,0,2 2 1 1 2
878,1,0,2,16,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
891,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
900,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
906,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
907,2,1,3,17,7,2,2,2,8,4,4,3,1,12,4,2 1 1 1 2
909,1,0,2,17,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
918,1,0,2,17,7,2,2,2,2,0,0,1,0,2,0,2 1 1 1 2
924,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
927,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
966,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
972,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1026,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1030,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1035,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1039,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1046,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1054,3,1,12,16,16,4,3,5,32,28,28,66,13,438,88,1 3 2 2 2
1055,1,0,7,12,12,3,2,3,8,0,0,21,0,168,0,1 2 2 2 1
1056,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1057,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1061,1,0,7,12,12,3,2,3,8,0,0,21,0,168,0,1 2 2 1 2
1063,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1064,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1065,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1075,1,0,7,12,12,3,2,3,8,0,0,21,0,168,0,1 2 1 2 2
1086,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1087,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1089,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1091,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1126,1,0,7,12,12,3,2,3,8,0,0,21,0,168,0,1 1 2 2 2
