future_id,chi,vertex_id,field_neg,field_zero,field_pos,field_sum,field_abs_sum,field_asym_l1,field_distinct,observed_actions,distinct_next_futures
830,2,1576,8,10,2,-4,12,10,4,8,4
907,2,1480,14,3,3,-9,19,9,4,12,6
907,2,1481,10,7,3,-5,15,9,4,8,4
907,2,1622,7,10,3,-2,12,10,4,4,2
1054,3,1634,16,0,4,-12,20,8,2,32,16
1054,3,1635,12,4,4,-8,16,10,3,8,4
1054,3,1640,12,4,4,-8,16,10,3,8,4
1054,3,1641,8,8,4,-4,12,10,3,16,8
1054,3,1653,12,4,4,-8,16,10,3,8,4
1054,3,1654,8,8,4,-4,12,10,3,16,8
1054,3,1657,8,8,4,-4,12,10,3,16,8
1054,3,1676,11,5,4,-7,15,9,3,2,1
1054,3,1677,12,4,4,-8,16,10,3,8,4
1054,3,1678,8,8,4,-4,12,10,3,16,8
1054,3,1681,8,8,4,-4,12,10,3,16,8
1054,3,1687,8,8,4,-4,12,10,3,16,8
1273,2,1729,12,0,8,2,26,18,3,4,2
1273,2,1732,11,1,8,3,25,17,4,4,2
1273,2,1745,11,1,8,3,25,19,4,2,1
1273,2,1748,10,2,8,4,24,18,4,10,5
1273,2,1755,6,6,8,8,20,16,4,8,4
1280,2,1739,12,0,8,2,26,18,3,4,2
1280,2,1740,11,1,8,3,25,19,4,2,1
1280,2,1758,11,1,8,3,25,17,4,4,2
1280,2,1759,10,2,8,4,24,18,4,10,5
1280,2,1760,6,6,8,8,20,16,4,8,4
1318,2,1836,18,1,1,-16,20,4,3,2,1
1318,2,1842,12,7,1,-10,14,8,3,2,1
1318,2,1966,16,3,1,-14,18,6,3,4,2
1318,2,1967,12,7,1,-10,14,8,3,2,1
1318,2,1969,12,7,1,-10,14,8,3,2,1
1318,2,1976,11,8,1,-9,13,7,3,6,3
1318,2,1984,12,7,1,-10,14,8,3,4,2
1318,2,1985,11,8,1,-9,13,9,3,4,2
1318,2,2027,11,8,1,-9,13,7,3,2,1
1318,2,2028,10,9,1,-8,12,8,3,4,2
1318,2,2070,12,7,1,-10,14,8,3,4,2
1318,2,2074,4,15,1,-2,6,6,3,2,1
1318,2,2078,10,9,1,-8,12,10,3,8,4
1318,2,2084,4,15,1,-2,6,6,3,2,1
1320,2,1838,17,1,2,-13,21,7,3,4,2
1320,2,1847,13,5,2,-9,17,9,3,4,2
1320,2,1848,9,9,2,-5,13,11,3,4,2
1320,2,1974,14,4,2,-10,18,10,3,4,2
1320,2,1988,8,10,2,-4,12,10,3,8,4
1320,2,2013,10,8,2,-6,14,10,3,6,3
1324,2,1825,11,4,5,-2,20,16,5,4,2
1324,2,1932,10,5,5,-1,19,13,5,2,1
1324,2,1971,12,3,5,-3,21,15,5,4,2
1324,2,1990,8,7,5,1,17,15,5,2,1
1329,3,1855,16,2,2,-12,20,8,3,10,5
1329,3,1856,12,6,2,-8,16,10,3,6,3
1329,3,1868,10,8,2,-6,14,10,3,4,2
1329,3,1978,15,3,2,-11,19,9,3,6,3
1329,3,1979,11,7,2,-7,15,11,3,6,3
1329,3,1981,10,8,2,-6,14,10,3,6,3
1329,3,1991,12,6,2,-8,16,10,3,6,3
1329,3,1992,8,10,2,-4,12,10,3,10,5
1329,3,2016,14,4,2,-10,18,10,3,2,1
1329,3,2017,10,8,2,-6,14,12,3,4,2
1329,3,2019,9,9,2,-5,13,11,3,4,2
1329,3,2081,10,8,2,-6,14,12,3,6,3
1374,3,1891,10,7,3,-4,16,14,3,8,4
1374,3,1901,13,4,3,-7,19,11,3,12,6
1374,3,1902,9,8,3,-3,15,13,3,6,3
1374,3,2046,13,4,3,-7,19,13,3,8,4
1374,3,2061,10,7,3,-4,16,12,3,2,1
1632,2,2142,16,0,4,-8,24,12,2,32,16
1632,2,2143,12,4,4,-4,20,14,3,12,6
1632,2,2148,11,5,4,-3,19,13,3,2,1
1632,2,2149,12,4,4,-4,20,14,3,12,6
1632,2,2156,12,4,4,-4,20,14,3,12,6
1632,2,2163,12,4,4,-4,20,14,3,12,6
1804,2,2219,10,7,3,-5,15,11,4,8,4
1804,2,2230,7,10,3,-2,12,10,4,2,1
1804,2,2233,4,13,3,1,9,9,4,4,2
1810,2,2237,12,6,2,-6,18,12,3,8,4
1810,2,2238,8,10,2,-2,14,12,3,4,2
1887,2,2299,11,6,3,-4,18,14,4,8,4
1887,2,2300,7,10,3,0,14,12,4,6,3
2208,3,2424,16,0,4,-9,23,11,3,4,2
2208,3,2428,8,8,4,-1,15,13,4,2,1
2208,3,2429,15,1,4,-8,22,12,4,4,2
2208,3,2438,8,8,4,-1,15,13,4,2,1
2208,3,2439,15,1,4,-8,22,12,4,4,2
2208,3,2478,12,4,4,-5,19,13,4,6,3
