field_id,color_class,deltaW
127,18,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 0;-1 -1 -1 -1 0
128,45,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 0;1 1 1 1 0
129,188,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 0;3 3 3 3 0
130,39,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 1;-1 -1 -1 -1 0
131,261,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 2;-1 -1 -1 -1 0
132,238,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;0 0 0 0 0;-1 -1 -1 -1 0
133,45,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;0 0 0 0 0;1 1 1 1 0
134,103,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;0 0 0 0 3;-1 -1 -1 -1 0
135,56,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;1 1 1 0 1;-1 -1 -1 -1 0
136,56,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;1 1 1 0 1;0 0 0 0 0
137,414,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;1 1 1 0 2;-1 -1 -1 -1 0
138,183,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;1 1 1 0 4;-1 -1 -1 -1 0
139,656,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;2 2 2 0 2;-1 -1 -1 -1 0
140,398,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;3 3 3 0 3;-1 -1 -1 -1 0
141,362,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;3 3 3 0 6;-1 -1 -1 -1 0
142,248,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 2 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
143,248,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 2 1;-1 -1 -1 0 -1;0 0 0 0 0
144,248,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 2 1;0 0 0 0 0;-1 -1 -1 -1 0
145,399,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 3 1;1 1 1 0 1;-1 -1 -1 -1 0
146,312,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 4 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
